2b2br1/2q1p3/1rB4n/3pP2p/RP1P1kpP/2P1NPp1/PK1B4/RN6 b - - 1 36, 0
2bq1br1/4p3/1rB4n/3pP2p/RP1P1kpP/2P1NPp1/PK1B4/RN6 w - - 2 37, 0
2bq1br1/R3p3/1rB4n/3pP2p/1P1P1kpP/2P1NPp1/PK1B4/RN6 b - - 3 37, 0
2b2br1/R1q1p3/1rB4n/3pP2p/1P1P1kpP/2P1NPp1/PK1B4/RN6 w - - 4 38, 1
2b2br1/R1q1p3/1rB4n/3pP2p/1P1P1kpP/2P1NPp1/PK6/RN2B3 b - - 5 38, 0
5br1/Rbq1p3/1rB4n/3pP2p/1P1P1kpP/2P1NPp1/PK6/RN2B3 w - - 6 39, 1
R4br1/1bq1p3/1rB4n/3pP2p/1P1P1kpP/2P1NPp1/PK6/RN2B3 b - - 7 39, 0
R4br1/1b1qp3/1rB4n/3pP2p/1P1P1kpP/2P1NPp1/PK6/RN2B3 w - - 8 40, 0
R4br1/1b1qp3/1rB4n/3pP2p/1PNP1kpP/2P2Pp1/PK6/RN2B3 b - - 9 40, 0
R4br1/1b2p3/1rq4n/3pP2p/1PNP1kpP/2P2Pp1/PK6/RN2B3 w - - 0 41, 0
R4br1/1b2p3/1rq4n/3pP2p/1P1P1kpP/N1P2Pp1/PK6/RN2B3 b - - 1 41, 0
b4br1/4p3/1rq4n/3pP2p/1P1P1kpP/N1P2Pp1/PK6/RN2B3 w - - 0 42, 0
b4br1/4p3/1rq4n/3pP2p/1P1P1kpP/2P2Pp1/PKN5/RN2B3 b - - 1 42, 0
b4b2/4p1r1/1rq4n/3pP2p/1P1P1kpP/2P2Pp1/PKN5/RN2B3 w - - 2 43, 0
b4b2/4p1r1/1rq4n/3pP2p/1P1P1kpP/2P2Pp1/PKNB4/RN6 b - - 3 43, 0
b4b2/4p1r1/1rq4n/3pPk1p/1P1P2pP/2P2Pp1/PKNB4/RN6 w - - 4 44, 0
b4b2/4p1r1/1rq4n/3pPk1p/1P1P2PP/2P3p1/PKNB4/RN6 b - - 0 44, 0
b4b2/4p3/1rq4n/3pPk1p/1P1P2rP/2P3p1/PKNB4/RN6 w - - 0 45, 0
